business_id;name;categories;city;stars;text
b1453;Family Chiropractic;Health & Medical, Chiropractors, Optometrists;Nashville;3.0;family chiropractic health medical chiropractor optometrist
b1127;El Cocina;Mexican, Restaurants, Tacos;Tucson;4.0;el cocina mexican restaurant taco
b1204;Golden Sushi;Asian Fusion, Japanese;Madison;4.5;golden sushi asian fusion japanese
b1603;Market Provisions;Farmers Market, Organic Stores;Austin;3.5;market provision farmer market organic store
b1304;Blue Lounge;Lounges, Cocktail Bars, Beer, Sports Bars;Tampa;5.0;blue lounge lounge cocktail bar beer sport bar
b1250;Big Burger Joint;American (Traditional), Sandwiches, Fries;Madison;4.5;big burger joint american traditional sandwich fry
b1681;Cozy Animal Hospital;Pet Stores, Pets, Dog Walkers;Portland;3.5;cozy animal hospital pet store pet dog walker
b1412;Quick Motors;Oil Change Stations, Car Wash, Auto Parts;Reno;4.5;quick motor oil change station car wash auto part
b1736;Park Resort;Hotels, Hotels & Travel, Bed & Breakfast, Resorts;Boulder;3.0;park resort hotel hotel travel bed breakfast resort
b1133;El Tacos;Restaurants, Mexican, Burritos;Boulder;4.0;el taco restaurant mexican burrito
b1663;Happy Veterinary Clinic;Animal Shelters, Pet Stores;Portland;5.0;happy veterinary clinic animal shelter pet store
b1653;Premier Electric;Electricians, Heating & Air Conditioning/HVAC;Reno;5.0;premier electric electrician heating air
b1150;Casa Taqueria;Latin American, Tex-Mex;Boulder;3.5;casa taqueria latin american
b1569;Nature Mart;Grocery, Specialty Food, Convenience Stores;Tampa;4.0;nature mart grocery specialty food convenience store
b1056;Little Pasta House;Calzones, Wine Bars, Pasta, Italian;Tampa;4.0;little pasta house calzones wine bar pasta italian
b1536;Iron Gym;Active Life, Pilates;Tucson;5.0;iron gym active life pilate
b1656;Premier Heating & Cooling;Plumbing, Heating & Air Conditioning/HVAC;Nashville;3.5;premier heating cooling plumbing heating air
b1369;Serene Barbershop;Hair Salons, Skin Care;Tampa;4.0;serene barbershop hair salon skin care
b1540;Iron Gym;Fitness & Instruction, Yoga;Madison;5.0;iron gym fitness instruction yoga
b1548;Summit Wellness;Pilates, Fitness & Instruction, Active Life;Phoenix;4.0;summit wellness pilate fitness instruction active life
b1725;Park Hotel;Resorts, Bed & Breakfast;Tampa;4.5;park hotel resort bed breakfast
b1473;Community Family Clinic;Chiropractors, Dentists, Optometrists;Boulder;5.0;community family clinic chiropractor dentist optometrist
b1110;Original Pasta House;Restaurants, Pasta, Calzones;Portland;4.0;original pasta house restaurant pasta calzones
b1639;Apex HVAC;Plumbing, Electricians, Contractors, Roofing;Reno;5.0;apex hvac plumbing electrician contractor roofing
b1188;Red Noodle House;Noodles, Restaurants;Reno;5.0;red noodle house noodle restaurant
b1212;Golden Dragon;Sushi Bars, Noodles, Thai, Ramen;Columbus;3.5;golden dragon sushi bar noodle thai ramen
